epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.22,1.71755,3.07943,0.02139,0.57897,0.47165,0.4754,0.22294,1.84889,1.93577,0.0287,0.000476146,0.000476146,0.000476146
2,552.426,1.73242,2.15744,0.02172,0.66631,0.51601,0.54967,0.27701,1.78576,1.70029,0.02714,0.000914761,0.000914761,0.000914761
3,782.075,1.72751,2.01506,0.02154,0.74088,0.54632,0.59915,0.30571,1.77825,1.61588,0.02671,0.00131565,0.00131565,0.00131565
4,986.503,1.69924,1.90268,0.02121,0.76679,0.56174,0.62558,0.33467,1.69532,1.51332,0.02504,0.00125923,0.00125923,0.00125923
5,1184.91,1.68404,1.82213,0.02073,0.76713,0.59278,0.64715,0.35361,1.70596,1.41933,0.02504,0.00120265,0.00120265,0.00120265
6,1386.42,1.65076,1.74925,0.02005,0.78933,0.59228,0.65498,0.36614,1.6733,1.38973,0.02432,0.00114606,0.00114606,0.00114606
7,1624.6,1.6282,1.69388,0.01989,0.79971,0.59616,0.66249,0.37156,1.64322,1.37607,0.02365,0.00108947,0.00108947,0.00108947
8,1872.59,1.60648,1.63089,0.01952,0.82356,0.61163,0.69086,0.39447,1.65447,1.27273,0.02354,0.00103288,0.00103288,0.00103288
9,2127.07,1.59177,1.58006,0.01922,0.80005,0.63324,0.69211,0.396,1.62442,1.25934,0.02309,0.000976293,0.000976293,0.000976293
10,2358.15,1.57349,1.53769,0.01879,0.8285,0.63444,0.70448,0.41183,1.58369,1.22461,0.02228,0.000919704,0.000919704,0.000919704
11,2592.92,1.55466,1.50245,0.01846,0.83035,0.64116,0.70859,0.4175,1.57155,1.20959,0.02212,0.000863116,0.000863116,0.000863116
12,2831.97,1.53379,1.45426,0.01817,0.83202,0.65071,0.72235,0.42451,1.56962,1.16526,0.0219,0.000806528,0.000806528,0.000806528
13,3052.54,1.51777,1.412,0.01796,0.83721,0.6539,0.72484,0.43377,1.5463,1.13886,0.02146,0.000749939,0.000749939,0.000749939
14,3256.83,1.49042,1.37831,0.01751,0.85384,0.65798,0.7337,0.43815,1.52643,1.13517,0.02099,0.000693351,0.000693351,0.000693351
15,3466.84,1.47295,1.33834,0.01721,0.86989,0.64872,0.73202,0.44859,1.49636,1.11401,0.0206,0.000636762,0.000636762,0.000636762
16,3707.61,1.46062,1.12029,0.02025,0.86174,0.66556,0.74593,0.46195,1.47868,1.08151,0.02021,0.000580174,0.000580174,0.000580174
17,3929.15,1.41297,1.0527,0.0194,0.8569,0.68141,0.75224,0.46988,1.46468,1.05683,0.01989,0.000523586,0.000523586,0.000523586
18,4139.01,1.38202,1.01258,0.01871,0.86813,0.68806,0.7583,0.47609,1.45643,1.02988,0.01966,0.000466997,0.000466997,0.000466997
19,4344.93,1.35189,0.97503,0.01807,0.86978,0.68766,0.76044,0.48252,1.44081,1.02987,0.01934,0.000410409,0.000410409,0.000410409
20,4555.11,1.31756,0.94591,0.01757,0.86815,0.68907,0.76841,0.49,1.42392,1.0005,0.01905,0.00035382,0.00035382,0.00035382
21,4754.78,1.29197,0.9102,0.01702,0.87309,0.69639,0.7691,0.48971,1.42068,0.98847,0.019,0.000297232,0.000297232,0.000297232
22,4953.12,1.26665,0.88002,0.0166,0.87786,0.69682,0.77301,0.49732,1.40766,0.98351,0.01879,0.000240644,0.000240644,0.000240644
23,5189.82,1.24364,0.86172,0.01618,0.88848,0.69693,0.77748,0.50115,1.40595,0.96861,0.01871,0.000184055,0.000184055,0.000184055
24,5454.24,1.22828,0.84318,0.01586,0.89721,0.69585,0.77829,0.50202,1.41137,0.95667,0.01879,0.000127467,0.000127467,0.000127467
25,5702.66,1.21312,0.83225,0.01557,0.87869,0.70552,0.77811,0.50227,1.40639,0.95943,0.01868,7.08784e-05,7.08784e-05,7.08784e-05
